Raioane,Grupe de varsta,Ani,Medii,Sexe,value
Total pe tara,Grupe de varsta - total,2014,Total,Total,2869302
Total pe tara,Grupe de varsta - total,2014,Total,Masculin,1375786
Total pe tara,Grupe de varsta - total,2014,Total,Feminin,1493516
Total pe tara,Grupe de varsta - total,2014,Urban,Total,1137100
Total pe tara,Grupe de varsta - total,2014,Urban,Masculin,531732
Total pe tara,Grupe de varsta - total,2014,Urban,Feminin,605368
Total pe tara,Grupe de varsta - total,2014,Rural,Total,1732202
Total pe tara,Grupe de varsta - total,2014,Rural,Masculin,844054
Total pe tara,Grupe de varsta - total,2014,Rural,Feminin,888148
Total pe tara,Grupe de varsta - total,2015,Total,Total,2846327
Total pe tara,Grupe de varsta - total,2015,Total,Masculin,1368347
Total pe tara,Grupe de varsta - total,2015,Total,Feminin,1477980
Total pe tara,Grupe de varsta - total,2015,Urban,Total,1129861
Total pe tara,Grupe de varsta - total,2015,Urban,Masculin,528417
Total pe tara,Grupe de varsta - total,2015,Urban,Feminin,601444
Total pe tara,Grupe de varsta - total,2015,Rural,Total,1716466
Total pe tara,Grupe de varsta - total,2015,Rural,Masculin,839930
Total pe tara,Grupe de varsta - total,2015,Rural,Feminin,876536
Total pe tara,Grupe de varsta - total,2016,Total,Total,2825628
Total pe tara,Grupe de varsta - total,2016,Total,Masculin,1360010
Total pe tara,Grupe de varsta - total,2016,Total,Feminin,1465618
Total pe tara,Grupe de varsta - total,2016,Urban,Total,1122829
Total pe tara,Grupe de varsta - total,2016,Urban,Masculin,524138
Total pe tara,Grupe de varsta - total,2016,Urban,Feminin,598691
Total pe tara,Grupe de varsta - total,2016,Rural,Total,1702799
Total pe tara,Grupe de varsta - total,2016,Rural,Masculin,835872
Total pe tara,Grupe de varsta - total,2016,Rural,Feminin,866927
Total pe tara,Grupe de varsta - total,2017,Total,Total,2780744
Total pe tara,Grupe de varsta - total,2017,Total,Masculin,1334515
Total pe tara,Grupe de varsta - total,2017,Total,Feminin,1446229
Total pe tara,Grupe de varsta - total,2017,Urban,Total,1111565
Total pe tara,Grupe de varsta - total,2017,Urban,Masculin,516918
Total pe tara,Grupe de varsta - total,2017,Urban,Feminin,594647
Total pe tara,Grupe de varsta - total,2017,Rural,Total,1669179
Total pe tara,Grupe de varsta - total,2017,Rural,Masculin,817597
Total pe tara,Grupe de varsta - total,2017,Rural,Feminin,851582
Total pe tara,Grupe de varsta - total,2018,Total,Total,2729634
Total pe tara,Grupe de varsta - total,2018,Total,Masculin,1304895
Total pe tara,Grupe de varsta - total,2018,Total,Feminin,1424739
Total pe tara,Grupe de varsta - total,2018,Urban,Total,1100747
Total pe tara,Grupe de varsta - total,2018,Urban,Masculin,509764
Total pe tara,Grupe de varsta - total,2018,Urban,Feminin,590983
Total pe tara,Grupe de varsta - total,2018,Rural,Total,1628887
Total pe tara,Grupe de varsta - total,2018,Rural,Masculin,795131
Total pe tara,Grupe de varsta - total,2018,Rural,Feminin,833756
Total pe tara,Grupe de varsta - total,2019,Total,Total,2684772
Total pe tara,Grupe de varsta - total,2019,Total,Masculin,1282064
Total pe tara,Grupe de varsta - total,2019,Total,Feminin,1402708
Total pe tara,Grupe de varsta - total,2019,Urban,Total,1094643
Total pe tara,Grupe de varsta - total,2019,Urban,Masculin,506396
Total pe tara,Grupe de varsta - total,2019,Urban,Feminin,588247
Total pe tara,Grupe de varsta - total,2019,Rural,Total,1590129
Total pe tara,Grupe de varsta - total,2019,Rural,Masculin,775668
Total pe tara,Grupe de varsta - total,2019,Rural,Feminin,814461
Total pe tara,Grupe de varsta - total,2020,Total,Total,2643675
Total pe tara,Grupe de varsta - total,2020,Total,Masculin,1262198
Total pe tara,Grupe de varsta - total,2020,Total,Feminin,1381477
Total pe tara,Grupe de varsta - total,2020,Urban,Total,1092812
Total pe tara,Grupe de varsta - total,2020,Urban,Masculin,505040
Total pe tara,Grupe de varsta - total,2020,Urban,Feminin,587772
Total pe tara,Grupe de varsta - total,2020,Rural,Total,1550863
Total pe tara,Grupe de varsta - total,2020,Rural,Masculin,757158
Total pe tara,Grupe de varsta - total,2020,Rural,Feminin,793705
Total pe tara,Grupe de varsta - total,2021,Total,Total,2626588
Total pe tara,Grupe de varsta - total,2021,Total,Masculin,1253166
Total pe tara,Grupe de varsta - total,2021,Total,Feminin,1373422
Total pe tara,Grupe de varsta - total,2021,Urban,Total,1098217
Total pe tara,Grupe de varsta - total,2021,Urban,Masculin,506637
Total pe tara,Grupe de varsta - total,2021,Urban,Feminin,591580
Total pe tara,Grupe de varsta - total,2021,Rural,Total,1528371
Total pe tara,Grupe de varsta - total,2021,Rural,Masculin,746529
Total pe tara,Grupe de varsta - total,2021,Rural,Feminin,781842
Total pe tara,Grupe de varsta - total,2022,Total,Total,2565030
Total pe tara,Grupe de varsta - total,2022,Total,Masculin,1218166
Total pe tara,Grupe de varsta - total,2022,Total,Feminin,1346864
Total pe tara,Grupe de varsta - total,2022,Urban,Total,1087698
Total pe tara,Grupe de varsta - total,2022,Urban,Masculin,500209
Total pe tara,Grupe de varsta - total,2022,Urban,Feminin,587489
Total pe tara,Grupe de varsta - total,2022,Rural,Total,1477332
Total pe tara,Grupe de varsta - total,2022,Rural,Masculin,717957
Total pe tara,Grupe de varsta - total,2022,Rural,Feminin,759375
Total pe tara,Grupe de varsta - total,2023,Total,Total,2492278
Total pe tara,Grupe de varsta - total,2023,Total,Masculin,1172642
Total pe tara,Grupe de varsta - total,2023,Total,Feminin,1319636
Total pe tara,Grupe de varsta - total,2023,Urban,Total,1071709
Total pe tara,Grupe de varsta - total,2023,Urban,Masculin,489196
Total pe tara,Grupe de varsta - total,2023,Urban,Feminin,582513
Total pe tara,Grupe de varsta - total,2023,Rural,Total,1420569
Total pe tara,Grupe de varsta - total,2023,Rural,Masculin,683446
Total pe tara,Grupe de varsta - total,2023,Rural,Feminin,737123
Total pe tara,Grupe de varsta - total,2024,Total,Total,2415549
Total pe tara,Grupe de varsta - total,2024,Total,Masculin,1142281
Total pe tara,Grupe de varsta - total,2024,Total,Feminin,1273268
Total pe tara,Grupe de varsta - total,2024,Urban,Total,1118345
Total pe tara,Grupe de varsta - total,2024,Urban,Masculin,517422
Total pe tara,Grupe de varsta - total,2024,Urban,Feminin,600923
Total pe tara,Grupe de varsta - total,2024,Rural,Total,1297204
Total pe tara,Grupe de varsta - total,2024,Rural,Masculin,624859
Total pe tara,Grupe de varsta - total,2024,Rural,Feminin,672345
Total pe tara,Grupe de varsta - total,2025,Total,Total,2388571
Total pe tara,Grupe de varsta - total,2025,Total,Masculin,1121589
Total pe tara,Grupe de varsta - total,2025,Total,Feminin,1266982
Total pe tara,Grupe de varsta - total,2025,Urban,Total,1121501
Total pe tara,Grupe de varsta - total,2025,Urban,Masculin,514262
