domain,cause,sex,age_group,indicator,year,value
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2014,67.5
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2014,570.4
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2014,23.6
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2014,199.6
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2015,64.5
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2015,582.5
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2015,22.7
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2015,205.4
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2016,61.8
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2016,653.0
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2016,22.0
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2016,234.8
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2017,76.5
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2017,680.1
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2017,27.8
SAN020200,Boli ale aparatului circulator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2017,246.8
SAN020200,Boli ale aparatului circulator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2018,58.6
