"Diviziuni de marfuri si servicii, conform clasificatorului COICOP",Ani,Luni,value
Total IPC,1994,Ianuarie,5.74
Total IPC,1994,Februarie,6.98
Total IPC,1994,Martie,7.68
Total IPC,1994,Aprilie,8.06
Total IPC,1994,Mai,8.28
Total IPC,1994,Iunie,8.50
Total IPC,1994,Iulie,8.69
Total IPC,1994,August,8.68
Total IPC,1994,Septembrie,8.90
Total IPC,1994,Octombrie,9.27
Total IPC,1994,Noiembrie,9.60
Total IPC,1994,Decembrie,9.87
Total IPC,1995,Ianuarie,10.16
Total IPC,1995,Februarie,10.40
Total IPC,1995,Martie,10.47
Total IPC,1995,Aprilie,10.53
Total IPC,1995,Mai,10.57
Total IPC,1995,Iunie,10.59
Total IPC,1995,Iulie,10.62
Total IPC,1995,August,10.64
Total IPC,1995,Septembrie,10.91
Total IPC,1995,Octombrie,11.21
Total IPC,1995,Noiembrie,11.88
Total IPC,1995,Decembrie,12.22
Total IPC,1996,Ianuarie,12.65
Total IPC,1996,Februarie,12.97
Total IPC,1996,Martie,13.11
Total IPC,1996,Aprilie,13.26
Total IPC,1996,Mai,13.36
Total IPC,1996,Iunie,13.37
Total IPC,1996,Iulie,13.39
Total IPC,1996,August,13.35
Total IPC,1996,Septembrie,13.55
Total IPC,1996,Octombrie,13.77
Total IPC,1996,Noiembrie,13.96
Total IPC,1996,Decembrie,14.07
Total IPC,1997,Ianuarie,14.34
Total IPC,1997,Februarie,14.54
Total IPC,1997,Martie,14.68
Total IPC,1997,Aprilie,14.80
Total IPC,1997,Mai,14.89
Total IPC,1997,Iunie,15.19
Total IPC,1997,Iulie,15.04
Total IPC,1997,August,14.91
Total IPC,1997,Septembrie,15.09
Total IPC,1997,Octombrie,15.23
Total IPC,1997,Noiembrie,15.40
Total IPC,1997,Decembrie,15.63
Total IPC,1998,Ianuarie,15.83
Total IPC,1998,Februarie,15.89
Total IPC,1998,Martie,15.88
Total IPC,1998,Aprilie,15.99
Total IPC,1998,Mai,16.02
Total IPC,1998,Iunie,15.85
Total IPC,1998,Iulie,15.62
Total IPC,1998,August,15.53
Total IPC,1998,Septembrie,15.56
Total IPC,1998,Octombrie,15.78
Total IPC,1998,Noiembrie,17.14
Total IPC,1998,Decembrie,18.47
Total IPC,1999,Ianuarie,19.47
Total IPC,1999,Februarie,19.76
Total IPC,1999,Martie,19.88
Total IPC,1999,Aprilie,20.28
Total IPC,1999,Mai,21.11
Total IPC,1999,Iunie,22.63
Total IPC,1999,Iulie,23.20
Total IPC,1999,August,23.36
Total IPC,1999,Septembrie,23.75
Total IPC,1999,Octombrie,24.25
Total IPC,1999,Noiembrie,25.30
Total IPC,1999,Decembrie,26.56
Total IPC,2000,Ianuarie,27.33
Total IPC,2000,Februarie,27.69
Total IPC,2000,Martie,27.71
Total IPC,2000,Aprilie,28.16
Total IPC,2000,Mai,28.55
Total IPC,2000,Iunie,29.81
Total IPC,2000,Iulie,30.02
Total IPC,2000,August,30.26
Total IPC,2000,Septembrie,30.68
Total IPC,2000,Octombrie,30.99
Total IPC,2000,Noiembrie,31.24
Total IPC,2000,Decembrie,31.49
Total IPC,2001,Ianuarie,31.86
Total IPC,2001,Februarie,31.96
Total IPC,2001,Martie,32.05
Total IPC,2001,Aprilie,32.54
Total IPC,2001,Mai,32.70
Total IPC,2001,Iunie,32.53
Total IPC,2001,Iulie,31.98
Total IPC,2001,August,31.82
Total IPC,2001,Septembrie,32.11
Total IPC,2001,Octombrie,32.53
Total IPC,2001,Noiembrie,32.88
Total IPC,2001,Decembrie,33.51
Total IPC,2002,Ianuarie,33.94
Total IPC,2002,Februarie,33.81
Total IPC,2002,Martie,33.98
Total IPC,2002,Aprilie,34.62
Total IPC,2002,Mai,35.18
Total IPC,2002,Iunie,33.98
Total IPC,2002,Iulie,33.47
Total IPC,2002,August,33.27
Total IPC,2002,Septembrie,33.54
Total IPC,2002,Octombrie,33.94
Total IPC,2002,Noiembrie,34.35
Total IPC,2002,Decembrie,35.00
Total IPC,2003,Ianuarie,35.66
Total IPC,2003,Februarie,36.31
Total IPC,2003,Martie,36.63
Total IPC,2003,Aprilie,37.18
Total IPC,2003,Mai,37.37
Total IPC,2003,Iunie,37.74
Total IPC,2003,Iulie,38.23
Total IPC,2003,August,38.38
Total IPC,2003,Septembrie,39.00
Total IPC,2003,Octombrie,39.82
Total IPC,2003,Noiembrie,40.26
Total IPC,2003,Decembrie,40.54
Total IPC,2004,Ianuarie,41.15
Total IPC,2004,Februarie,41.52
Total IPC,2004,Martie,41.77
Total IPC,2004,Aprilie,42.14
Total IPC,2004,Mai,42.35
Total IPC,2004,Iunie,42.39
Total IPC,2004,Iulie,42.52
Total IPC,2004,August,42.73
Total IPC,2004,Septembrie,43.16
Total IPC,2004,Octombrie,44.11
Total IPC,2004,Noiembrie,44.90
Total IPC,2004,Decembrie,45.62
Total IPC,2005,Ianuarie,46.13
Total IPC,2005,Februarie,47.09
Total IPC,2005,Martie,47.47
Total IPC,2005,Aprilie,48.14
Total IPC,2005,Mai,48.18
Total IPC,2005,Iunie,47.80
Total IPC,2005,Iulie,47.27
Total IPC,2005,August,47.37
Total IPC,2005,Septembrie,47.93
Total IPC,2005,Octombrie,48.65
Total IPC,2005,Noiembrie,49.58
Total IPC,2005,Decembrie,50.27
Total IPC,2006,Ianuarie,51.23
Total IPC,2006,Februarie,51.94
Total IPC,2006,Martie,52.72
Total IPC,2006,Aprilie,53.25
Total IPC,2006,Mai,53.89
Total IPC,2006,Iunie,54.00
Total IPC,2006,Iulie,53.78
Total IPC,2006,August,54.21
Total IPC,2006,Septembrie,54.81
Total IPC,2006,Octombrie,55.69
Total IPC,2006,Noiembrie,56.63
Total IPC,2006,Decembrie,57.31
Total IPC,2007,Ianuarie,57.77
Total IPC,2007,Februarie,58.12
Total IPC,2007,Martie,58.47
Total IPC,2007,Aprilie,59.05
Total IPC,2007,Mai,59.58
Total IPC,2007,Iunie,59.58
Total IPC,2007,Iulie,60.24
Total IPC,2007,August,61.56
Total IPC,2007,Septembrie,62.55
Total IPC,2007,Octombrie,63.55
Total IPC,2007,Noiembrie,64.37
Total IPC,2007,Decembrie,64.95
Total IPC,2008,Ianuarie,65.86
Total IPC,2008,Februarie,66.85
Total IPC,2008,Martie,67.59
Total IPC,2008,Aprilie,68.67
Total IPC,2008,Mai,69.77
Total IPC,2008,Iunie,68.93
Total IPC,2008,Iulie,68.31
Total IPC,2008,August,68.79
Total IPC,2008,Septembrie,69.20
Total IPC,2008,Octombrie,69.75
Total IPC,2008,Noiembrie,69.75
Total IPC,2008,Decembrie,69.61
Total IPC,2009,Ianuarie,69.54
Total IPC,2009,Februarie,68.78
Total IPC,2009,Martie,68.23
Total IPC,2009,Aprilie,68.43
Total IPC,2009,Mai,68.57
Total IPC,2009,Iunie,68.36
Total IPC,2009,Iulie,67.95
Total IPC,2009,August,67.21
Total IPC,2009,Septembrie,67.61
Total IPC,2009,Octombrie,68.62
Total IPC,2009,Noiembrie,69.31
Total IPC,2009,Decembrie,69.93
Total IPC,2010,Ianuarie,71.63
Total IPC,2010,Februarie,73.26
Total IPC,2010,Martie,73.75
Total IPC,2010,Aprilie,73.99
Total IPC,2010,Mai,74.07
Total IPC,2010,Iunie,73.68
Total IPC,2010,Iulie,73.20
Total IPC,2010,August,72.52
Total IPC,2010,Septembrie,73.11
Total IPC,2010,Octombrie,74.17
Total IPC,2010,Noiembrie,74.64
Total IPC,2010,Decembrie,75.58
Total IPC,2011,Ianuarie,76.40
Total IPC,2011,Februarie,77.42
Total IPC,2011,Martie,78.06
Total IPC,2011,Aprilie,78.81
